Month,Coarse wool Price,Coarse wool price % Change,Copra Price,Copra price % Change,Cotton Price,Cotton price % Change,Fine wool Price,Fine wool price % Change,Hard log Price,Hard log price % Change,Hard sawnwood Price,Hard sawnwood price % Change,Hide Price,Hide price % change,Plywood Price,Plywood price % Change,Rubber Price,Rubber price % Change,Softlog Price,Softlog price % Change,Soft sawnwood Price,Soft sawnwood price % Change,Wood pulp Price,Wood pulp price % Change,PCA1,PCA2
Jun-99,288.32,-0.15%,530,0.00%,0.11658031088082901,-2.27%,676.74,9.10%,0.14924016578201127,3.98%,0.34838064274102787,4.82%,0.4083665338645419,1.18%,0.29472532423647557,1.04%,0.01565217391304348,0.00%,0.3936884512085943,-3.63%,0.6008807509560783,-4.32%,0.1641190363722249,2.84%,-0.4700063779179223,0.1194313555727416
Jan-98,399.02,-3.53%,378,-4.06%,0.19430051813471502,-3.05%,636.11,-7.55%,0.1985021449865484,-6.63%,0.0,-12.24%,0.4090305444887119,-18.84%,0.22817236829401755,-3.69%,0.029565217391304355,-6.85%,0.3502685765443152,4.65%,0.5815274075790939,4.22%,0.2718186112423241,-4.26%,-0.577342428396614,0.07965606285579205
Aug-08,717.57,-9.58%,780,-17.55%,0.22797927461139897,1.18%,941.71,-10.14%,0.4742601614193267,-1.02%,0.8324907554618697,-5.72%,0.4568393094289509,1.17%,1.0000000000000002,0.21%,0.4208695652173913,-8.44%,0.22873769024171908,2.32%,0.7423803453470854,-5.18%,0.7948228625413322,-4.16%,0.7069034811411514,0.016720183031138328
Mar-13,"1,207.47",-2.22%,536,-5.96%,0.3212435233160621,5.05%,"1,324.09",-3.67%,0.6227005017087182,-1.85%,0.7299701673841976,-2.48%,0.8342186808322267,0.00%,0.7628165931837929,-1.85%,0.42956521739130427,-6.58%,0.42457475380483456,5.17%,0.5430524973925137,0.57%,0.6928294756731225,0.12%,0.5325811636303311,-0.2795116912204303
Nov-06,640.02,21.99%,434,5.72%,0.11139896373056993,0.79%,790.34,14.42%,0.41270995419181267,4.36%,0.6495650154522232,1.96%,0.5150509074811862,2.73%,0.9674315321983717,1.12%,0.19304347826086957,-10.99%,0.6020590868397493,-1.23%,0.9446633445358679,-6.07%,0.6543977326405291,2.03%,0.4842951226395618,0.3843330132433553
Apr-07,742.55,2.46%,552.5,8.55%,0.10880829015544044,-2.33%,940.37,2.88%,0.44913836981022337,-1.34%,0.7064077600528769,2.19%,0.6542718016821603,0.28%,0.9546229845846879,-1.34%,0.3147826086956521,4.04%,0.4129364368845121,7.78%,0.9664503418704371,2.96%,0.6089749645725083,1.19%,0.521690341617899,0.20055651712064623
Sep-98,280.11,-5.66%,409,1.49%,0.16062176165803108,-2.67%,462.89,-7.46%,0.027957536537482786,9.68%,0.16100680612372498,10.52%,0.5993802567507747,-7.05%,0.03437067550606643,4.16%,0.029565217391304355,4.62%,0.42994628469113705,-5.14%,0.5213234441997916,2.91%,0.1124232404345773,-5.36%,-0.7620192328354424,-0.007939534248496609
May-05,543.49,-0.04%,446.25,-2.99%,0.10103626943005181,-2.38%,717.13,-1.65%,0.21820693666836333,4.31%,0.4358241483413423,2.17%,0.3583444001770695,-0.15%,0.5812119846812347,2.26%,0.14782608695652175,3.82%,0.5060429722470905,-6.76%,0.8551396453818518,2.67%,0.4348984411903637,-3.46%,-0.03599656235725561,0.35823523735878526
Mar-16,986.75,2.70%,990,21.77%,0.155440414507772,-2.04%,"1,039.01",2.16%,0.44034028939140557,1.65%,0.6460815663016488,-0.65%,0.5482514386896855,1.16%,0.4666752486081165,1.65%,0.16521739130434784,14.96%,0.5280886302596242,11.06%,0.6748174759531811,65.24%,0.8574775625885688,0.00%,0.2907963989562644,0.0677802653363499
Nov-16,"1,019.21",-0.43%,"1,021.00",5.94%,0.233160621761658,0.58%,"1,189.28",0.10%,0.48222206064131456,-4.09%,0.47153396809517867,0.66%,0.6405489154493138,3.50%,0.5347085894506487,-4.08%,0.2365217391304348,12.65%,0.38440017905102963,-7.98%,0.6807277784216017,1.66%,0.8574775625885688,0.00%,0.28853840878420994,-0.046914022017478504
Nov-01,335.91,1.70%,202,3.59%,0.0,2.44%,466.09,5.45%,0.0,-4.77%,0.0939995355401132,-3.85%,0.5438247011952189,2.82%,0.19988414379042907,-0.84%,0.0,-5.56%,0.2900626678603402,4.93%,0.5919573531116007,5.39%,0.04013226263580538,0.42%,-0.7743638751361824,0.06899482724345302
Jun-12,"1,203.80",-2.22%,708,-7.93%,0.25129533678756477,-7.18%,"1,285.42",-4.09%,0.7991347342398023,-1.29%,0.8029260972864825,-3.29%,0.7899513058875609,0.00%,0.8630000321822804,-0.80%,0.4678260869565217,-14.21%,0.21833034914950766,-2.16%,0.6095144280913201,-2.73%,0.6686632026452529,-1.90%,0.6733205806484349,-0.352029829020766
